transferId,plugin,srcAbstractTokenId,srcValueUsd,duration
T-de261695-f7cd-4564-9e8b-8089a928340c,across,MOCK01:circle:USDC,21679.273,39
T-b02476f1-5779-465e-8cbf-95073f6c89b4,across,MOCK02:ethereum:ETH,97.15723,8
T-35b50d47-5ccf-4b5b-bd5e-b8a04fa00863,across,MOCK01:circle:USDC,2.969232,0
T-d78f3edb-cbd4-4cad-b9bd-f0e70ff287c1,across,MOCK02:ethereum:ETH,214.08345,18
T-2667264b-d289-44c7-9fa9-89b01361c607,across,MOCK02:ethereum:ETH,5.37987,2
T-cc1828fa-84d5-4de7-8391-598b7a9644e8,across,MOCK03:tether:USDT,174.65062,2
T-2bf7b230-a426-47b4-b127-f4a7a8e1b702,across,MOCK02:ethereum:ETH,3.8257782,3
T-1e475174-2ec9-4a96-8f43-9a863d7dc27f,across,MOCK02:ethereum:ETH,3.5131543,3
T-2fd2e730-ccc9-4134-bc47-bf5980a64d6a,across,MOCK02:ethereum:ETH,126.06539,2
T-d938e189-33bd-4be1-aadf-2572826d325f,across,MOCK02:ethereum:ETH,69.91158,2
T-a276264e-1fd3-43f8-a999-0a5254346be9,across,MOCK02:ethereum:ETH,6.6529584,2
T-bc4dc858-f569-4106-8c7f-e9a2a6a258ad,across,MOCK02:ethereum:ETH,7.0563354,3
T-0697d7f0-2e5e-4707-9c61-5828a27d8d48,across,MOCK01:circle:USDC,58.39861,0
T-901799c1-d63d-449a-9c0f-27d3a269dc2b,across,MOCK02:ethereum:ETH,3.2309983,4
T-398a16f2-503e-48ce-93c7-56b00199f10f,across,MOCK02:ethereum:ETH,0.94394505,1
T-58b90fbb-1607-4ae7-8dbb-d765ebcbe23d,across,MOCK02:ethereum:ETH,5967.8584,28
T-38566c36-dbea-43d6-b59d-22e52d373eea,across,MOCK01:circle:USDC,11.663404,3
T-8d95ba55-601a-4e6a-865c-2932a4c43f8e,across,MOCK02:ethereum:ETH,116.58295,2
T-a04d1475-7aa2-43e8-b3e6-bdf8c45f48f7,across,MOCK03:tether:USDT,7.056287,2
T-c2d3c621-459e-4490-9995-e1ae212ca6cd,across,MOCK16:usdt0:USDT0,0,2
T-752f3b45-bb20-4c92-af16-e318f557b256,across,MOCK01:circle:USDC,350.9642,21
T-b07f8243-c08d-47af-af09-b0bcd59ddd40,across,MOCK02:ethereum:ETH,1.1009415,2
T-1b0b5d73-8340-44ce-8507-f7d8e128db3a,across,MOCK02:ethereum:ETH,137.35574,18
T-dcb12636-4d75-4407-a420-f8c0a1f18a96,across,MOCK02:ethereum:ETH,1.508827,2
T-bb8d8ad6-99a4-4484-adb7-5ee5999b628a,across,MOCK01:circle:USDC,16.049688,2
T-7f8113c0-6b83-4240-a13b-9f46f95cfe44,across,MOCK02:ethereum:ETH,7.2458296,2
T-6e64808d-dde6-4127-a8f3-c3afa81832a5,across,MOCK02:ethereum:ETH,3.9673724,2
T-d564143e-095c-4433-b300-9aafb3a390ee,across,MOCK01:circle:USDC,99.00329,2
T-7098ab3e-f2a1-4206-b511-9763b54eba8d,across,MOCK02:ethereum:ETH,1.5109473,2
T-03407805-a50c-42d6-ba1d-83b1f612eb32,across,MOCK01:circle:USDC,11004.416,5
T-6821105f-f86d-4d02-9ff9-06afe82c2f66,across,MOCK02:ethereum:ETH,17.075087,0
T-e2f1029b-e0e6-41a1-99c4-3c6361849189,across,MOCK02:ethereum:ETH,112.56582,28
T-4f38cc4b-a2b7-4201-9f32-6ceb59940e60,across,MOCK02:ethereum:ETH,17.064297,2
T-3a0c823d-9121-4c9a-9917-10ceddc84765,across,MOCK04:wbtc:WBTC,2152.9512,32
T-0bdf827b-aff0-4e29-8b26-06b5a2f1db80,across,MOCK02:ethereum:ETH,8025.444,30
T-d19133ff-96bc-40d2-8c70-9952a28e8323,across,MOCK02:ethereum:ETH,99.23616,0
T-e241e73d-c5d4-4f68-8797-6062958290cb,across,MOCK02:ethereum:ETH,11.943317,0
T-be0a4abb-2d63-4b48-8778-b301bd81a6da,across,MOCK02:ethereum:ETH,553.6026,16
T-37cf51b4-9913-4fd6-9d8c-d7232fb183d9,across,MOCK01:circle:USDC,1.999612,0
T-706313ef-eb8f-4c6e-9d13-e63466722ef0,across,MOCK01:circle:USDC,247.44794,14
T-3ae4b91a-95c5-4bf4-8823-c43df48ff5e4,across,MOCK02:ethereum:ETH,14.132739,2
T-7c4b05dd-4cab-4c27-92fc-d23928c13876,across,MOCK01:circle:USDC,197.64252,7
T-c5d63063-a741-4a70-a279-ad6a017c61b5,across,MOCK01:circle:USDC,18.121696,2
T-ba9a34ef-0e18-4e67-a2d7-91ea8af6f756,across,MOCK02:ethereum:ETH,118.274414,16
T-42aa6067-6e80-43aa-af38-d7f0a34298b8,across,MOCK01:circle:USDC,99.36434,6
T-da389502-e023-4e65-80ab-7d3e9456a26f,across,MOCK01:circle:USDC,325.63586,14
T-6df84cd5-d221-4fc0-be59-c62104840d15,across,MOCK01:circle:USDC,10.265395,2
T-d0056ba6-18e8-44b8-b82c-f7a0f211297b,across,MOCK02:ethereum:ETH,27.009634,0
T-1cd9aa2a-f34e-41a7-95b0-5ec3ac9aa7e2,across,MOCK02:ethereum:ETH,60.01608,12
T-8266d71a-c900-48a4-acbf-b1dfa228804e,across,MOCK02:ethereum:ETH,7.4903903,14
T-8f75074b-db1d-46aa-b5d7-e41040332841,across,MOCK02:ethereum:ETH,2.9716997,4
T-a8119805-153e-4932-8045-53246afc2f86,across,MOCK02:ethereum:ETH,2.9985063,0
T-6e69c6b3-8fff-46da-8d22-35517ee90402,across,MOCK01:circle:USDC,12.207297,2
T-b6fd6fe1-2bc0-4548-9f5f-c646d9dbcfea,across,MOCK02:ethereum:ETH,1.0033317,2
T-45d8293a-5c0e-4542-8ffa-27349716cd18,across,MOCK01:circle:USDC,10.30489,0
T-2e478cfd-3b5c-4e28-8537-6c1aba153624,across,MOCK02:ethereum:ETH,1395.2706,2
T-11442831-def8-4da8-b4c7-15fd0f314670,across,MOCK02:ethereum:ETH,37.730957,2
T-642b9564-0b46-4ff5-9d2d-128adabd4573,across,MOCK01:circle:USDC,14.495842,2
T-7360cabe-0d10-4a48-b580-3a410d6214e0,across,MOCK02:ethereum:ETH,72.75633,3
T-c309d943-8f9b-4ea1-8eb8-cab6566424a7,across,MOCK02:ethereum:ETH,1.1679,0
T-1028a79d-59b2-4348-b241-cf4dd99a730b,across,MOCK03:tether:USDT,1899.6224,2
T-21133649-08cb-411d-83da-8a0e49c3b634,across,MOCK02:ethereum:ETH,3.8466458,4
T-302ad62b-5e56-4920-86a8-b2251e4d259a,across,MOCK01:circle:USDC,3615.7783,8
T-9c1b069c-5c16-4b0d-83bb-8ba396b1c9d2,across,MOCK01:circle:USDC,74.45043,8
T-b209f2b5-2778-4919-9881-b75549cccffe,across,MOCK01:circle:USDC,25616.004,40
T-77179067-7c83-4073-963f-3b281d0bf374,across,MOCK02:ethereum:ETH,1.9031767,3
